,Italian,american,asian,texmex,mediterranean,french,,italian,american,asian,texmex,mediterranean,french
portion,1.910699302,2.097824617,4.533731314,2.772375257,2.033485467,1.423259393,texture,1.092137122,1.095595201,2.137340901,1.637484801,7.075335397,3.137757437
tender,1.106698951,2.032068243,3.080718954,2.074147415,5.341643942,3.334011581,tender,1.106698951,2.032068243,3.080718954,2.074147415,11.20261438,7.507375201
authentic,0.754567466,0.364961259,2.367825312,1.079927993,3.170551239,2.187220855,tasty,0.449688977,0.499400465,0.874087503,0.703748683,2.033485467,1.423259393
creamy,1.176900004,1.031938551,2.319944396,1.773016108,1.738336714,3.169315342,sweet,1.142596622,1.298666645,1.967547779,2.362952751,11.48622487,4.024802788
quality,0.862173038,0.958094697,2.248412041,1.015827639,3.16723129,3.953683891,spicy,0.658749375,0.79654243,2.167172425,2.28964325,14.40336134,2.996641362
chewy,1.13924892,1.311952237,2.224048443,1.164628228,11.48622487,4.024802788,soggy,1.328038741,0.981340273,1.848431373,1.697029703,0,6.359188406
hot,0.869135302,1.447955663,2.221460836,1.466020424,4.26014913,1.679363135,seasoned,0.80977972,1.795134646,1.844332855,2.27650326,0,2.908165429
texture,1.092137122,1.095595201,2.211042312,1.637484801,14.40336134,2.996641362,savory,0.747021792,1.784255042,2.016470588,3.054653465,0,2.384695652
spicy,0.658749375,0.79654243,2.200513539,2.28964325,4.999513855,3.284704755,salty,0.975028443,1.101723746,2.176411528,1.63569128,4.858965273,4.788545486
salty,0.975028443,1.101723746,2.176411528,1.63569128,6.666018474,3.777410468,quality,0.862173038,0.958094697,2.100490196,1.015827639,4.26014913,1.679363135
flavor,0.943625761,1.093003917,2.095853352,1.798177169,9.982527665,6.492983211,price,0.801260998,1.170365312,1.746942341,1.092147829,3.993011066,1.574056536
sweet,1.142596622,1.298666645,2.047313229,2.362952751,2.078835658,4.712027491,pretty,0.737364277,0.785521088,1.466379948,1.013948565,3.170551239,2.187220855
savory,0.747021792,1.784255042,2.016470588,3.054653465,11.20261438,7.507375201,portion,1.910699302,2.097824617,4.450543584,2.772375257,9.982527665,6.492983211
soggy,1.328038741,0.981340273,1.848431373,1.697029703,7.201680672,4.968115942,perfectly,1.234746763,1.234969916,1.701223465,2.033630636,6.666018474,3.777410468
seasoned,0.80977972,1.795134646,1.844332855,2.27650326,4.858965273,4.788545486,juicy,0.748733182,1.701480324,1.775672125,1.487087884,2.078835658,4.712027491
juicy,0.748733182,1.701480324,1.818981201,1.487087884,6.019315189,4.152455116,hot,0.869135302,1.447955663,2.133482189,1.466020424,3.16723129,3.953683891
bad,0.733426568,0.711394791,1.738336714,1.060643564,7.075335397,3.137757437,greasy,1.310564547,1.056466801,1.547729618,1.339760292,0,3.137757437
perfectly,1.234746763,1.234969916,1.735942311,2.033630636,3.66631016,1.083952569,flavor,0.943625761,1.093003917,2.040211228,1.798177169,5.341643942,3.334011581
crispy,1.14900046,1.38242901,1.701223465,2.734882579,0,4.675873828,dry,0.963420962,1.725841931,1.550361811,1.919259783,7.201680672,4.968115942
bland,1.082640278,0.969703827,1.643861893,1.475678003,0,3.888090737,crunchy,1.24503632,1.083297704,1.440336134,2.909193777,0,3.974492754
dry,0.963420962,1.725841931,1.550361811,1.919259783,0,2.908165429,crispy,1.14900046,1.38242901,1.666504618,2.734882579,4.999513855,3.284704755
greasy,1.310564547,1.056466801,1.547729618,1.339760292,0,3.974492754,creamy,1.176900004,1.031938551,2.319944396,1.773016108,6.019315189,4.152455116
pretty,0.737364277,0.785521088,1.519222469,1.013948565,0,2.384695652,chewy,1.13924892,1.311952237,2.224048443,1.164628228,0,4.675873828
crunchy,1.24503632,1.083297704,1.440336134,2.909193777,0,6.359188406,bland,1.082640278,0.969703827,1.643861893,1.475678003,0,3.888090737
tasty,0.449688977,0.499400465,0.904347703,0.703748683,0,3.137757437,bad,0.733426568,0.711394791,1.629690669,1.060643564,1.738336714,3.169315342
price,,,,,,,authentic,0.754567466,0.364961259,2.29144385,1.079927993,3.66631016,1.083952569
,,,,,,,Total,25.97228389,31.51192833,51.84138041,45.86806034,113.3451118,95.57594681
