,Cuisine,City,Review
0,Tex-Mex,San Francisco,Start your review of  Don Pistos .
1,Tex-Mex,San Francisco,"I ventured out to Don Pistos because of a team building event and I have to say I was very pleased. In all honestly, I was a little confused at where the entrance was because there wasn't a clear sign noting it, but because I had looked at photos on Yelp before, I was able to pinpoint the restaurant itself. We arrived basically for a late late lunch so there wasn't much people nor a rush. I already had in mind exactly what I wanted - pescado tacos, but my group also ordered some fried chicken and queso fundido! I thought the food was divine. The fried chicken was crispy and juicy but what really made it a bomb dish was the habanero salsa - it gave it exactly the kick to make your taste buds shout for more. There's no better pairing than crispy juiciness and spiciness. The queso fundido was also amazingly flavorful. You got to build your own mini tortillas. The pescado taco also hit the spot for me.  It was a nice combination of spiciness, tanginess, and freshness paired with the fish. Although it is only two tacos, if you pair with some appetizers, it definitely be enough! The only thing though is that you can't mix your taco types - like a carne asada and a pescado. Whichever taco you order, it comes in pairs - it would be nice to mix and match the tacos. As I was there after the rush, the ambiance was definitely peaceful and comfortable. I'm not sure if anything would change during their regular brunch/lunch hours but I definitely will be back!"
2,Tex-Mex,San Francisco,"This place definitely has lots of potential. I came to celebrate a birthday brunch a few weeks ago. We came with a group of 15 or so and had reservations prior.  We were seated quickly. For the most part majority of our table ordered bottomless mimosas. I liked that they brought the whole bottle of champagne and left them at the table for us to pour our own. They also had really good fresh squeezed cantaloupe juice to pair with the mimosa.  For food we each ordered different things. I had gotten the breakfast burrito. My only issue I had with the food was that the server messed up EVERY SINGLE ORDER. Literally every order...I understand that we have a large party so I get some confusion can happen, but not with every single order. They brought out meatless burritos which nobody at our table ordered. They also forgot several orders for other people and we had to constantly remind them over and over. When we mentioned it to the server she told us it was her first day and took full responsibility. I actually felt horrible for her that they just threw her in without any real formal training or anyone helping her run items with our huge party. The orders got so messed up that several of us just gave up and accepted whatever type of food they were bringing out.  I will give the server the benefit of the doubt which is why I'm giving 3 stars. I would definitely return and hopefully next time I can update my review with a higher rating since this place seems to have tons of potential."
3,Tex-Mex,San Francisco,"Summer, our waitress, was stellar! We came here saturday of fleet week of 2021 for brunch and bottomless mimosas. We had a party of 12 and made reservations - they gave us a great table in the middle of the dining area. I ordered the fish tacos and they were so good! Great atmosphere with music, and Don Pistos is a great spot for large parties. The staff were very attentive for always making sure we were stocked with mimosas as well.  If you're on the fence about going here, just make a reservation!! Can't wait to come back."
4,Tex-Mex,San Francisco,Alright Don Pistos.... Wow. Came here back to back and was impressed both times. So much flavor! They play really good music too!
5,Tex-Mex,San Francisco,Really like their chips and salsa. Great for a large group. Food is flavorful and the portions are pretty big. The server was very friendly and did a great job at accommodating our large group. Tacos were good.
6,Tex-Mex,San Francisco,"HORRRRRRRIBLE service. For some reason the day I went, the staff mentioned that someone had booked ALL the reservations the whole morning. But...it looked like they never showed up...so I don't know why they didn't call to confirm or pass up their seats especially 45+ min into the reservation. They told me they didn't take reservations after a certain time, but for some reason they were holding it for this person who reserved it after that time...It literally made no sense and I don't even know why they bother to have an online Yelp waitlist option if they don't even use it. When I was driving there I saw that there were only two parties in front on the Yelp waitlist and it told me to check in with the host. When I did, she acted like she didn't even know what it was! They told me the waitlist didn't even matter. No one took down my name or info they just told me to stand outside. All I kept seeing were empty tables and people standing there waiting. I was so irritated that they had such an inconsistent terrible system. When we finally got seated our server was so out of it. She never really came back for water, was confused about everything we were ordering. It was just an awkward experience. The burrito itself was good but definitely overpriced North Beach type of food. I didn't think the portions were as big as some of the other reviews claimed. If you have ever had a burrito in the Mission...then this is considered a small expensive burrito."
7,Tex-Mex,San Francisco,Reservations definitely required for a weekend! Went here for brunch and surprisingly they did not have any coffee for the morning. Luckily there's a great little coffee spot next door and they were totally fine with us getting some and bringing it inside to drink. This is a great spot for large parties and celebrations. The brunch food was ok. I got the scramble and it was superrrrr egg heavy with not much else of the other items. I think if it were paired with some potatoes it would have been better balanced. The breakfast burrito is spicy with very little chorizo. Your best bet would probably be the huevos rancheros. Definitely a place for good drinks and the focus not being so much on the food.
8,Tex-Mex,San Francisco,"Love this spot! I prefer this for Happy Hour and nibbles vs a dinner spot. BOMB margaritas! My favorite and go to is the Hibiscus margarita in a pitcher. The tacos are delicious but if you want to switch it up, try every flavor (especially potato) tacos delgados! And their Tortilla soup is super tasty and filling. Awesome service and great location. Be sure to make a reservation because it can get packed!"
9,Tex-Mex,San Francisco,"Came with friends to get dinner! They have limited outdoor seating so we ended up sitting inside.  Love their chips and green salsa! The chips are super crispy and the green salsa has a nice kick to it. It's sooo good! We all got tacos and I got carne asada. The carne asada was tender and full of flavor. I was expecting some char flavor to come through because of the grill marks but didn't taste any. Overall, these were still solid carne asada tacos."
