,Cuisine,City,Review
582,French,San Francisco,"I wanted to pick my words carefully, as I don't give five stars to many. Â But my evening at Gary Danko's Restaurant was a culinary event. Â So I'm happy to share my experience. Â Here goes. The approach at the restaurant is a fixed tasting menu. Â By fixed Â I mean, your selections are made at the start of the seating. Â The truly awesome approach with Gary Danko is you can have a daily presented tasting menu that has been selected for you, or, you can design your own three, four or five course tasting dinner yourself. Pricing is tiered depending how many courses you choose. Additonally there were caviar options and one or two suppliments. Its very clearly laid out for you if you decide to go that route. We both opted for a four (4) course tasting menu discussed under the food section of this review. We drank lightly (by the glass) so this will not be the focus of this review. Decor: Understanded Elegance. This is not a large space really. I believe there were 3 rooms, bar, main dining room, and a private event room. Â We were in the main dining room. It's posh without trying hard. It's a very smoothing vibe. There is no view, and it was nice and all, but don't come Â here for 'the room.' Service: Like Nothing I've Ever Seen Before. Â We were a table for 2, and our waiter Scott, was one of the most professional wait people I've ever met. Polished, polite, knowledgable, trustworthy, one step ahead of us the whole experience. We ordered a dessert prepared tableside which he Â made. Charming and gracious, he was great. Food: Â Sublime. Â Every morsel was a party in my mouth. Â The final presentation, preparation (at the table) and tasting of the Banana flambe was just amazing.  As I am finishing this review significantly after my visit, I can only hope the recent pandemic hasn't stopped this marvelous restaurant from moving forward. Â  This is a very special place for special occasions in life. I highly recommend it."
583,French,San Francisco,"Ok, I'll admit 2 stars is a bit harsh for Gary Danko. I would normally give a min of 4 if not 5 stars. Â However, I am basing this on my previous 2 dozen or so visits to the restaurant and by holding it Â up to 'Danko' standards. Â I couldn't wait to get back after 11/2 yr wait. Â I brought along my partner and colleague, 1st timers. I heard that the wait staff were ALL new members and they did not disappoint! Â Excellent staff, attentive courteous, a pro staff, it just seemed they were short a 1-2 people. Â I sat in the back room and it was unusually empty (2-4 tables empty) for a Saturday night, I'm used to seeing every table occupied, a little surprised. Â I also heard that the kitchen staff/chefs were relatively new, but hey this is Danko's & they deliver. We started out with the customary brioche, it was good, didn't have that pop as previous, but still dam good. Â  I had my usual 5 course meal. Â included were & in order, the vegetable tart, & it did not disappoint, though I prefer the previous tart with snap veggies and goat cheese. Â  The next dish & most disappointing and main reason for 2 stars was the risotto. Â  I order it every visit, this time its as if were Â out of the kitchen of one of the wharfs Italian seafood joints. Â I'm used to a creamy thick, pasty, jammy risotto with hunks of crab. Â What I got was a very soupy/liquidy risotto with lots of shrimp, & 2 small pieces of crab, lots of parsley or tarragon, Â I could not tell, but VERY off the mark, like nothing Ive had at Danko, to say average is being generous. Â Next I ordered the Â rosemary crusted tuna, it didn't mesh, (for me), ingredients dint bring out the flavor of the tuna, Â again very avg (by Danko standards) Finally I had the lobster w/purÃ©ed potatoes as a 'main course'. Â When presented in the shell, I'm used to having it shucked by the wait staff, not this time, (no biggie) however I wa deeply disappointed by the size/portion of the 'main' course, it was more a tasting menu portion, and the Â sauce it rests on usually a deep orangey color very rich & tasty, this time good, not great. Â My friend had scallops that looked great and he said were, clearly at Danko standards! Â  Â  As for the the wine list, great list, lots of variety, Â very high in price, Â in some cases quadruple the price, but hey this is a high end joint, I just like some bang for the buck, and you wont find it on the wine list. Â AND yes I know restaurants make it on the liquor, not the food. Â I have about 25% Â of the wines Â in my collection, Â but those are priced really high. Overall, I thought there were some growing pains in getting back to the Danko, I know & love. Â My gf & colleague were not disappointed overall, but factoring in the cost for 3 people, & 2 bottles of wine, Â it was disappointing. Â  However as a loyal Danko patron, I will be back & hopefully they will be staffed, trained & up to the standards I remember, know & LOVE! ohh, PLZ bring back the flambe' (table side)"
584,French,San Francisco,"An American restaurant that you will love to recommend to your friends because they have lovey selections, truly the best, and mouthwatering food. A bit pricey but come on, still worth it to spend money in this kind of place and we deserve it as well right? From working for the whole day, and the stress is anywhere, tasty food is one of the best way to reward ourselves. Here at Gary Danko, we eat all that we want but the queen on our meal was the Seared Filet of Beef. Sounds great right? It was cooked into perfection, tender, and tasty. Awesome! We will definitely be coming back here for sure!"
585,French,San Francisco,"This is a world-class restaurant. I am very much looking forward to visiting again soon now that they have reopened. They have a legendary cheese cart, and the overall ambiance, food, and service are all worthy of a trip."
586,French,San Francisco,Always delicious. I like that you can chose pretty much anything on the menu as part of the pre fixe. Service is great. A wonderful SF staple!
587,French,San Francisco,"I am having a hard time writing this review because GD is my fave fine dining restaurant in the Bay pre-Covid. This review is specifically for their GD at home take out that I recently experienced. I will preface to say that this review is specifically for their take out since the in restaurant dining experience and food cannot be replicated by take out.  The pick up experience was really easy since I parked right in front where their valet service normally would be. Walked right in and the staff were very friendly and courteous. Exactly the kind of service I would expect from GD! My order was ready right on time. I was so eager and excited when I saw they had a whole roast duck on their menu for the week. My thing with duck is that it is sooo good when it is done right and can be dry and so so when not. This is not an equal comparison but Chinese deli roast ducks are often really good. Juicy and tender. So I figured GD would not fail me. Unfortunately their duck only tasted average. Not as juicy and tender as I hoped it would be. It was actually on the drier side and luckily the rosemary orange sauce helped.  The creamy broccoli soup was also just average. The flakiness of the puff pastry crust for the mushroom and asparagus tart was quite good. The baked Alaska looked really really pretty but the flavor and taste fell short because it was quite tart even without the orange sauce. The whole takeout experience at home took about 1.5 hours to prep, reheat and eat. So it is not a simple take home and ready to eat kind of meal. I like doing these kind of fancy takeout meals because I have fun putting the dishes together. On my own from scratch it would take too much time and ingredients to do so.  So I would give the service 5 stars but the food would be 3 stars so the overall would be 4. Sadly I was expecting a lot more from the food and i wouldn't do take out from them again. I will be back for sure when indoor dining is back again though!"
588,French,San Francisco,"I love this place! It's a great experience every time I get a chance to come here. The food is excellent as the service is top notch without being too stuffy. I have been coming here for several years for special occasions and I look forward to it every time. For the service and food quality, the prices are very reasonable. I love how you are able to choose any items on the menu and that you are not restricted to one appetizer, one entree and one dessert if you order 3 items. If you are feeling like a carnivore, you can get all meat dishes or if you are in a seafood mood, you can get all seafood. I am not going to choose a salad if I can get a lobster instead for the same price. LOVE IT! The portions especially for the entrees are quite filling. The last time I went, my friends and I had a large enough party to reserve the private dining room. What a great experience to get away from the rest of the restaurant. I loved how the servers came out with our food and surrounded the table and served us all at once at the same time.  Here are some highlights from our meal: PurÃ©ed carrots with almonds Roasted quail  Seared sea scallops Seared bass Roasted Maine lobster Lemon pepper duck breast  Warm Louisiana buttercake Can't wait to come back again!"
589,French,San Francisco,"I am so very glad that GD has pivoted under the pandemic to remain an on-going institution. Â Absent a patio or sidewalk space to allow for outside dining, GD has created a weekly changing ""take-away to warm-up"" menu in addition to ""standard available weekly classics"". Â Not your typical nightly meal per se, but who the heck doesn't want to pamper themselves periodically under the pandemic. Â All you need is the ability to follow warming instructions, an oven, and a microwave. Wifey and I love duck, so we placed our order by noon of the 25th (weekly Thursday Noon Cutoff) for Feb 26-27, 2021 menu of: - Roast Whole Duck (Split Bi-Lateral with Backbone Removed"" with a Rosemary Orange Sauce - Creamy Broccoli Soup with Crispy Chicken Crackling / Onions - Mushroom and Asparagus Tart with Ricotta-Parmigiano - Brussels Sprouts with Mustard and Bacon - Herb Bread Dressing - Parker House Rolls - Grand Marnier & Blood Orange Baked Alaska for Two With added house surprises of: - Pear Pates de Fruits (Nightcap Finger Jellies) - Cheese Muffin (Morning Waker Upper) All were delicious and even more so as the warming process (duck was longest at 20-25 minutes) is going to make you salivate as you prep everything that looks so good. Â Granted that the only thing we're doing is warming items up, so you've got to appreciate the up-front work that goes on in the actual preparation of these items and writing of instructions. Â Who the heck knows how to de-spine a duck? Â Or make a take-away Baked Alaska that will stand up to traffic and still look culinary magazine material? Â Glad GD is keeping people employed and maintaining the culinary arts. Thank you for a home fine-dining experience, if only you could loan out fine chinaware, silverware, cloth napkins, stemware.....lol. Note: So much food that we only warmed up half the food. Â Or should I say, we're spreading it out over two meals...."
590,French,San Francisco,"Numerous reviews stating the obvious - great food & wine choices, great service, great ambiance, and great location. Â Let me reconfirm and reinforce the obvious. Food - as a diner you have many options. Â Set tasting menu, 3-4-5 course options and the entire party can pick and choose as they please without all being forced to select the same courses. Â Wine parings also to match each individual course if you choose so. Â For appetizer we loved the Glazed Oysters with Osetra Caviar and Seared Foie Gras. Â For seafood, go with the Sea Bass and for poultry, the Stuffed Quail. Â The Bison, is less fatty than beef, thus you will need to go medium rare and be ready to work the mandible. Â The Grand Marnier SoufflÃ© is fluffy, rich, baked goodness with two sauces and scoop of ice cream. Â Baked good packed for the next morning or for a late night snack. Service - professional, knowledgable, un-pretentious service. Â Our Wait Team consisted of Sam, Jeremiah (Sommelier), William, and Neal. Â Sam and William described the menu and dining format. Â They also suggest plate presentation if you order multiple items in the same category. Â Usually from lighter to heavier fare. Â Jeremiah described each wine paring with passion and also helped recharge a cell phone when my son mentioned his photo shooting phone was almost out of power. Â The wine parings were described in great detail with each course and the pours were generous. Â Neal supplied bread constantly, cleared plates, and snapped pictures for us. Â All around great service and the staff is perceptive as to when patrons want minimal to additional dialog. Ambiance - beautiful Asian themed setting with orchids and cherry blossoms interspersed throughout the restaurant. Â Tables are a bit close together but not to the point where other diners' conversations are disruptive. Â Place was constantly packed - a good sign. Location - a block away from Ghiradelli Square, walking distance to some of the best views of San Francisco Bay, valet parking, and free street parking after 6pm if you have time to look for a space. Gary Danko is a great three-hour value."
591,French,San Francisco,"I have been wanting to try this restaurant for years. I can't believe I finally did it during the pandemic. I had full faith that it would still be wonderful. A restaurant rated so highly wouldn't do take-out unless they could do it well. We reserved our meal on-line and the pick-up process was pretty seemless. We arrived at our designated time and someone was there to greet us with our order. The restaurant provides detailed reheating instructions for all of their dishes. There is a lot of food and the portions are generous. After the first two courses I realized we couldn't eat everything in one seating so I began splitting the portions. The meal lasted us two dinners. We got the following items: Mushroom & Leek Soup Herb & Garlic Twists Spring Tart with Ricotta, bacon and Parmigiano  Roast Duck Zucchini with Basil butter Three Grain Pilaf Strawberry, lime, mascarpone  Everything was delicious and the reheating directions were very easy to follow. Nothing was too laborious. Â  There were so many other items on the menu that I wanted to try and after going through the process once I will be sure to order take-out from here again."
