ID,reviews
0,"Stopped in for an early dinner/late lunch. The lobster roll was decent, but could have used a bit more flavor. The fries were awesome but I couldn't eat many because that had a lot of salt on them."
1,Atmosphere...tight! Outdoor seating is probably a better bet. Indoors for a party of two ensures that you share a table with another couple with plexiglass down the middle. Couple on the opposite side will be seated with no plexiglass and less than six feet from you. My anxieties were on HIGH ALERT!
2,"I came in with extremely high expectations because of how high & frequent the ratings are and I've also witnessed the notoriously long line, but I didn't like the experience: it's really expensive and the food I ordered, service, and ambiance were all very average if not below average to me given the price point ($90 incl. tip for the three items below)."
3,I ordered the most basic items you can get at Neptune Oyster:
4,"- Clam chowder (~$15): someone else wrote in their review that the chowder was watery and they tasted uncooked vegetables - I thought this certainly would not be the case, but it was! It could be Neptune's spin on clam chowder, but I didn't find it appetizing."
5,- Lobster roll & fries ($34): the more recent reviews say the lobster roll isn't what it used to be and I believe it. The lobster I was given tasted rubbery and worse than the last lobster roll I got at a random Luke's Lobster in downtown San Francisco (though that roll was delicious!). The portion however was generous - the roll is a large six inch brioche roll and they stuff it with a heaping portion of (the rubbery textured) lobster.
6,"- Oysters (sampling of eight - ~$3/oyster): these were the best part of the meal but the oysters were not better than other top oyster places I've been to (i.e. Hog Island in SF, Walrus & Carpenter in Seattle). The second oyster on the list was VERY good though. One pro is they do have a large sampling of east and west coast oysters which is neat."
7,The service is good but sparse because it's so busy. The ambiance is okay - it's a small place that has almost shoulder to shoulder cramped seating.
8,I would consider coming back (provided small wait) but try different items!
9,This place had an insane wait and for good reason.
10,The servers were so busy and they let us wait until a seat indoor opened up.
11,"We got fresh oysters to start with a bottle of wine. I'm not a huge oyster person, but I loved it. We even considered ordering more, but we'd already ordered too much food."
12,Also the best lobster roll I've had was from here. The buttered hot lobster roll is what I would go for if I were getting a lobster roll with the arugula salad. 
13,Get the oysters.
14,"Worth the wait! The best meal we had in Boston and would consider this fine dining in a casual atmosphere. The servers were prompt, friendly, and efficient. The tables are a bit small if you want to order a bunch and portions are very generous. Bring your appetite because the food is fantastic and nicely sized. The chunks of lobster in the cold and warm rolls were huge. The wines offered are incredible. You can find some immaculate high end wines as well as modest daily sippers. Neptune's really combines high quality seafood with preparation that lets those ingredients really shine. We ""bumped elbows"" with the table next to us and had a good time chatting with them and the vibe is very friendly overall. Neptune's is clearly an important institution within the neighborhood. The servers knew locals as the passed through the street and it made me realize that this is the place both locals and tourists thoroughly enjoy. I wish I could award this restaurant more stars, but then again most people already know how amazing this spot is."
15,"If you're looking for a cute date night or brunch spot with fresh, flavor seafood - this is your spot! The service was amazing and they current do not take reservations so make sure to arrive when it opens or there will be a wait."
16,"For starters we got the scallop crudo and clam chowder. I appreciate how the crudo was so refreshing and it wasn't drenched in sauce. The clam chowder was also light and had a lot of clams. Please note, if you like a chunky consistency you should look elsewhere."
17,For entrees I got the cioppino which is a must!!! The seafood was so fresh and the broth was the perfect balance and complemented the rice and dish so well. The burger was also hearty and cooked well.
18,I'd recommend anyone visit for Boston to definitely include this restaurant on your list of go-tos!
19,Obsessed would be an understatement!!
20,Neptune Oyster was highly recommended to me so I decided to make the trip over and they did not disappoint.
21,Everything was so fresh and yummy!! I ordered:
22,- the Maine lobster roll sandwich
23,- Neptune pearl oysters
24,- Beausoleil oysters 
25,- Kumamoto oysters
26,- Cherrystone clams
27,"Overall, I'd definitely return and would eat it all over again. If I had to choose a favorite, it's definitely the Beausoleil oysters!!"
28,"In terms of service, the waitress was super helpful!! She was clearly swamped but handled all busy situations with such calmness and efficiency. She made the dining experience so pleasant :-)"
29,The only 2 things I'd change are:
30,1) how you put your name down to wait to be seated. You have to wait until the waitress is free servicing tables for her to take your name and number down which can result in a semi-long wait. Should definitely consider putting an Yelp iPad in the front or something. 
31,"2) The umbrellas for shade need to be stabilized with sand bags or some form of heavyweight. In my hour there, I saw the umbrella fall onto seated customers and myself a total of at least 3x.. pretty dangerous."
32,Not as mind-blowing as reviews made it seem. 
33,Pro: The line moved much faster than I expected - that was a nice surprise! There were approximately 20 people in front of us and we were seated in about 30 minutes. 
34,Con: The food just wasn't *that* good. Most disappointing was the clam chowder - it was so watery and lacked in flavor. 
35,There's lots of amazing seafood in New England and I just found this spot to be overhyped.
36,"W O W! When I first found this place on Yelp, I was absolutely shocked by the number of raving 5* reviews and the fact they were able to maintain a 4.5* rating out of almost 6k reviews. If you're an avid Yelper, you'll know that this is no easy feat. So I had some really high expectations when I came here and boy was I in for the seafood ride of my life. "
37,"My friends and I came on a Sunday around 4pm hoping to secure a table since this place doesn't take reservations and we were told the wait would be at least 2 hours, so we turned around and decided to try our luck the next day. We arrived the following day a bit earlier (around 1pm) and were delighted to find that the wait was only about 30-45 mins. "
