,Cuisine,City,Review
0,Italian,San Francisco,"We visited San Francisco for the first time and Tony's was one of the first places recommended. OMG! We had The New Yorker and it was amazing, and we finished off our meal with Tiramisu and Cannoli.  During our meal the owner came to our table and made the meal complete.  Absolutely fantastic."
1,Italian,San Francisco,Thanks so much for visiting us during your SF trip Andre! We’re so happy it was delicious and memorable and hope to see you next time you’re in The Bay!
2,Italian,San Francisco,"Calamari was delicious, and the sauce on the margherita pizza was absurdly good. Our server Renee was awesome, so knowledgeable of the menu. Had a great time here largely because of her!"
3,Italian,San Francisco,"Thanks so much for the wonderfully kind words about our staff, Conner :) We’re so appreciative of your patronage and review!"
4,Italian,San Francisco,"My friends and I were craving pizza & I was able to snag a table using waitlist. Caution: parking is super hard to find here for street! There's a parking lot two blocks, but it can get pricey. Anyways... heard this place is really good and popular. I could see why! The pizzas are delicious and the crust was cooked super crispy or at the perfect texture. Service was really good, but to be honest in the beginning it got confusing with their bathroom line since Covid. Now on to the food.. Meatballs (not pictured): pretty saucy and yummy (4/5) Carbonara pasta: creamy and filling! (5/5) Caesar salad: really good, but the anchovies were not it. (3/5) Calamari: crunchy and bready. It's not needed cause you will get full (4/5) Margarita: my favorite and the crust was crispy. (5/5) St. Anthony's: another one of my favorites. (5/5) Sicily style pizza: sooooo cheesy and saucey. Could barely eat this, but def try it (4/5) Overall I was stuffed and had lots of leftovers. I would come back again with other people who have pizza cravings."
5,Italian,San Francisco,What a feast! Thanks so much for sharing your experience with us Amanda :) We look forward to having you in again soon for another meal!
6,Italian,San Francisco,"Tony's has always been a special place for my family. Whether it's celebrating a birthday or one of those hallmark holidays, it's always been a go-to because I mean, is there really ever a bad time for pizza?  We went this past Saturday night, and for a table of 10 outdoors, we got super lucky and only had to wait about 30 minutes. I hadn't eaten here since before the pandemic, and it hurts to say this, it was shell of its former self. Still good in a lot of aspects, but definitely some room for improvement.  For appetizers, we started a couple of orders of the fried calamari (one regular, one spicy. The spicy is the best one IMO). On the first bite, we noticed that it was anything but crispy, borderline soggy. Texture wise it was a whiff. The servers mentioned they switched to a new type of calamari, but I dunno how that would affect how crispy the fried calamari was. Hope they can fix this issue because this is always a go-to dish for me.  For pizza, we ordered the New Yorker and the Motorhead. I dunno what it was, but it didn't have that normal 'WOW' factor that Tony's has given me over the past 5-7 years I've been coming here. The ingredients were the same, but the flavor was 100% there. We also ordered a kids pizzas, and honestly the kids cheese pizza I enjoyed more than the New Yorker. Maybe it was just an off-night, either way, they still produce a quality pie.  The motorhead is Detroit style and was still very good. If you like pan/square pizza slices, I'd take a Detroit over a Sicilian slice everyday. The crispy edges is what sets it apart, and definitely a can't miss style when dining here.  Our servers were super nice and attentive throughout the experience. The customer service here is always top notch. Overall, still a great place to grab a pie with friends and family and will most definitely be back when the Tony's cravings hit again."
7,Italian,San Francisco,"Whenever somebody suggests pizza for lunch/dinner ... I always suggest Tony's. There's a few pizzas here that I have to get every time. A must try is the motor head, which is a Detroit style pizza. It's similar to Sicilian by shape, but it has a crispier, cheesy crust. Tony's gets this style right! The clam, garlic, bacon is also really good, because let's be real how can those ingredients taste bad on a pizza? If I'm going for something lighter, I'll go with the Tartuffo. The truffle oil gives it that umami flavor, paired with prosciutto, arugula, and mushrooms, gives it fresh flavor. Feeling like a classic pizza? Can't go wrong with their New Yorker! I'm a big believer that the sit down experience is vastly different than the slice house. 10/10 I'm going to choose the sit down option, because the pizza is fresher and tastier to me. (Not a fan of reheated pizza) I'm stoked that they now have Yelp Waitlist because it's makes the wait time a lot more palatable. My most recent visit, I was hanging at Fort Mason park, hopped on the waitlist, and arrived when I was just a few people away. Tony's is pricier than your regular pizza joint, but to me, it's worth it. The quality and flavor and endless option of various pizzas make a place I go too often."
8,Italian,San Francisco,"I expected much more from an award-winning pizza with considerable wait time. Salad and bruschetta were mediocre, the salad was no better than something you could whip up in 3 minutes at home. The ""world-famous"" margherita pizza was disappointing. I highly recommend eating this the second it hits the table! We were sitting outside (in November) and within two minutes, the pizza was soggy and a bit cold. The New Yorker pizza was the best thing we tried! I was pleasantly surprised by how flavorful the chili olive oil on the table was; the oil paired wonderfully with the New Yorker pizza."
9,Italian,San Francisco,"There's a saying if it looks too good to be true it probably is. This review reflects only delivery, not the dine-in experience.  My friend and I were tired after walking around the city for our third day straight. Not knowing where to eat we settled on Uber Eats for Tony's Pizza. It seemed like a super solid idea - the wait time at the restaurant was 60 minutes and the wait time for UberEats was 60 minutes. It seemed like we would get ahead of the game a bit because it meant we would get our food theoretically faster than if we had eaten there. I thought it was possible because Tony's was always super busy so perhaps their wait time was more capacity issue and if they had no room in their ovens for a few extra pizzas surely they would reflect that on UberEats. At least that was the theory. So we order a cheese pizza that rough came to $40 with tip, charges, and taxes.  At the 45 minute mark the Uber app notified the driver had arrived but then the driver left and declined the order. Ok... Then we received a notification that the order had been delayed. Ok, that's fine. It is a busy night.  Fifteen minutes later we receive another order is delayed notification. We receive another notification that a driver arrived and declined the order. A new third driver is assigned. Cool, cool. It is only about a 15 min drive from Tony's to our hotel so we watch in eager anticipation as the app shows us the route the driver is taking. He arrives promptly and hands over our $40 pizza.  First thing that is noticeable is the box is radiating no heat. I mean like none. Then as I am trying to figure out where we should sit in the hotel lobby my friend takes a look inside to find pepperoni pizza, not the cheese that we had ordered.  Now I like pepperoni but my friend absolutely does not. She tries to get a hold of Uber and Tony's while I look at the pizza and how the small pepperonis had curled enough to be perfect cups of grease. The pizza glistened in the hotel's lobby lights and if the pizza moved the greased would slosh back and forth.  My friend doesn't receive the resolution she was looking for as no correct pizza was coming, Tony's manager blamed Uber, Uber blamed Tony's. The entire order was not refunded. So being that it was not refunded entirely I decided to try a bite of this pizza. I wish I had a place to warm it up but there was no options for that.  For a cold pizza it was chewier than I expected. The slices didn't pull apart easily often ripping into chunks. The pepperoni had a good flavor being nice and spicy. The cheese was not noticeable due to it being so saturated with grease by that time it just couldn't shine.  I am sure that this is a delightful experience in the restaurant itself. But I cannot in good conscious recommend anyone get Tony's for delivery. If you want Tony's either go physically there early or go there physically and wait in a huge line. That place was always packed.  I don't know if I ever will get that chance but if you do I hope you have a great experience. Just don't get a delivery!!"
