ID,reviews
0,Katz's Deli is like the Disneyland of Pastrami!
1,"It has long lines filled with restless tourists praying the crowded experience  stimulates the imagination ... and like Disney ... Katz's is totally worth the time, money, and stress to rediscover the magic of great pastrami."
2,Three tips:
3,"1. Don't overthink what to order at Pastramiland, USA. "
4,"Get the hot pastrami sandwich on rye with deli mustard. Period. The tender, juicy fresh-carved beef brisket is why you're in a line."
5,"2. Sure, there's more than just pastrami"
6,"Matzo ball soup, corned beef, tender tongue, or getting a Reuben-style sandwich with sauerkraut & cheese are all family pleasers, but don't mickey mouse around or ignore the deli pickles, either."
7,3. Pay after you eat & keep your ticket to exit.
8,"Little paper slips are distributed to each person on entry. The carvers and crew at the counter write the amount to be paid (at the cage by the entrance). Katz's collects each customer's ""ticket"" as proof of payment before you are allowed to leave the busiest pastrami place on earth."
9,"Katz's Delicatessen is popular and legendary after a hundred years because it really is a magical (crowded, dingy, touristy) kingdom where pastrami dreams come true."
10,"After arriving at NYC, unpacking, and getting some sorely-needed sleep, I wanted to start my first full day in the city off properly. That's why, for breakfast, I went to the esteemed Katz Deli, possessing an impressive13k+ reviews averaging 4 stars. "
11,"Unsure of what to get, I decided to order what I thought would be a moderately large breakfast & lunch. I ordered a pastrami sandwich ($24.99) and side of potato salad ($7.49). In hindsight, the pricing should have tipped me off about just how much food I ordered. Alas, I had yet to consume coffee that morning. "
12,"The pastrami sandwich itself looked as big as a Leo Tolstoy hardback novel. The bread looked stretched to its structural limits. The pastrami itself redefined what I thought possible with this meat. Previously, I had normal deli pastrami, which tended to arrive cold, dry, and cut to anemically thin slices. This pastrami, however, arrived as juicy, fatty, and tender as a just-smoked brisket. I could only finish a half sandwich. I saved the other half until I became hungry again, which only happened after 6 more hours."
13,"I also ordered a side potato salad. Typically, I dislike American-style potato salad due to its oversaturation of mayonnaise, creating a greasy, astringent texture. While this also seemed drenched in mayonnaise, it did not taste as such. The mayo seemed thickly coated but not oily, and it seemed a bit tangy but not astringent. The portion size, a small mound, filled a small appetizer plate. After getting full off of half a pastrami sandwich and taking some bites of the potato salad, I had to pawn off the rest to my friends like some sort of potato salad peddler at the local town square."
14,"Overall, I can see why Katz remains an NYC institution. Portion & pricing alone seem agreeable. The quality of pastrami, however, sets a new bar."
15,Yet again this place killed it. I love this place.  The pastrami is amazing.  It's $40-$50 for a lunch BUT so we'll worth it!
16,Go to this place and take it all in!
17,My husband is a pastrami fanatic 
18,We have eaten it coast to coast 
19,He is also a pretty agnostic man 
20,But then he tried Katz .... 
21,"And I quote ""I think I'm having a spiritual moment"" "
22,It's worth the hike across town
23,It's worth the queue outside
24,It's worth the queue inside
25,Just go.... Get your sandwich extra juicy and enjoy seeing Jesus during that first bite
26,"Staff are super friendly and helpful! Line queue and ordering system is organized. Was able to sample the meats before ordering, which was extremely helpful. Portions are large, quality of food is great. Prices are a bit high but it makes sense because of the quantity and quality. We enjoyed the pastrami sandwich, latkes, and canned soda. I shared an order of the sandwich and was full after eating."
27,"Plenty of seating inside, very clean, bathrooms are available and clean as well. "
28,Definitely will be back again whenever I visit NYC!
