,Cuisine,City,Review
303,Mexican,San Francisco,"Cash only ~ Luckily we brought cash. Lol!!! Huge portions, good deal and very tasty ~~~ We are so surprised that the price didn't go up and the portions still remained the same. We aren't unable to finish our lunch and we're going to save it for dinner or next day. Shoutout for staffs - very fast service \(^^)/"
304,Mexican,San Francisco,"Located conveniently next to 24th and Mission Street BART station. El Farrolito has some of the best Mexican food in San Francisco. I had to revist this place to satisfy a burrito craving! One of the longest standing Mexican restaurants in San Francisco's Misson district. Hopefully it will stand strong for years to come. Lately, they haven't had my favorite meat, beef tongue, Â (lengua) available. But some other restaurants haven't had lengua either.  Today, I got a super burrito with Cabeza or beef head. It was delicious! Choose your meat, beans, and style. The rice was flavorful, Cabeza or beef head was seasoned well, beans cooked decently. My second favorite thing to order here is Quesadilla Suiza!  Hope your Yelp adventures will lead you to the classic staple of the community. Stay hungry adventurous and happy Yelping!"
305,Mexican,San Francisco,"After reading million 5 star reviews about how authentic this place is, I had to try it. But boy I was a bit disappointed, I mean don't get me wrong, the food isn't bad, but it's not the best either. It was ""okay"".  Parking outside: it's on mission, and street parking is plenty if you arrive at the right time. You wait in line to order food and it's pretty quick, maybe 10-15 mins wait and your order is ready within a few mins of you paying for it. So a total of 15-20 Mins.  Food: got carnitas burritos; and the first bite was super salty. The whole burrito was but it wasn't anything special. I have had better Mexican food. Maybe after a few drinks it tastes better? Lol They are open late, which is a plus but it's cash only - thought here is an atm inside Ans outside the shop. Customer service: great, they were friendly and especially their security gaurd who was helping with the line Ans busting the tables was so nice to everyone! Overall, it wasn't a bad experience, I was just expecting to be blown away by the most yummiest burrito but I wasn't."
306,Mexican,San Francisco,"I wondered why every time I went to El Farolito, I could not remember how it tasted. So last night I made an effort to really focus on the flavor of my carne asada super burrito- closed my eyes and everything.  It's bland. Just a very plain burrito. Not bad, but lacking seasoning, flavor, or anything to distinguish it from the sum of its ingredients. But! They're open late, it's really cheap, and it's massive (easily 2 meals), just don't blame your drunken self when you can't remember if it was good or bad. It was ok."
307,Mexican,San Francisco,"This place one of the best in the mission. Came here after a night out on the town, and this burrito literally brought me back to life. The portions are huge and the food is great, even if it is just cash only. Definitely recommend if you are in the area and looking for a great burrito, no matter what hour of the day!"
308,Mexican,San Francisco,"Really amazing burritos! I had the carnitas super burrito and was very happy, and extremely full. These burritos are heafty and packed with succulence. The meat was great, but I was particularly impressed with the flavorful pinto beans and soft fluffy rice. It had a tight wrap so it didn't spill all over and I loved the salsa inside.  I was bummed they didn't have chile verde pork as an option and the tortillas seemed standard. As one of, if not THE top rated burrito in California on multiple sites, I thought it was really really good, and I'll definitely be back, but it's not the best in the world, so I'm still on the hunt. I still loved it and can't wait to try other menu items. We went on a weekend morning so there was no line and the burritos we're ready in about 5 minutes. The hardest part was finding somewhere to park.  Tips: CASH only!!! There's an ATM inside if needed. masks are required inside to order, and masks plus proof of vaccination are required to sit inside.  Order to go and go eat at your favorite park bench or scenic overlook, these burritos stay hot and fresh for a while because of how well they are wrapped."
309,Mexican,San Francisco,"Great burrito. Thought there was good ratio of meat, guacamole, and rice. We tried Al Pastor and Carne Asada - both were very good but Al Pastor was better. I'm a big fan of burritos and can attest to the quality of this one compared to La Taqueria and other comps. Know some reviews say there's too much sour cream but I actually thought it could have used a little bit more of that wetness inside. The green and red sauce were both very good and were great flavor supplements to the burrito. Would recommend and would come back! Place is also very close by to Delores Park so recommend bringing it to picnic!"
310,Mexican,San Francisco,"I came here with one of my friends because it was highly rated on Yelp! It's really busy but fast moving, so you should be prepared to wait a little. I ordered their super burrito with chorizo and black beans. It was quite large, as many of the reviews alluded to, and I ended up taking a third of it home to eat for breakfast the next day. The burrito was really good, but it wasn't exceptional. I have had just as good burritos elsewhere, but this is definitely one of the better ones. The prices were great, which is something I appreciated. My burrito was around $10, super affordable for San Francisco in my opinion. The service was really fast; I believe we got our food in less than 5 minutes. There is indoor dining, but it's limited. So we walked to Dolores park, which is about 20 minutes away. It's a really nice place to eat, so I'd recommend going there if you have time. Overall, I'd go back here and maybe try their quesadillas because they looked good too."
311,Mexican,San Francisco,"Don't let the Cash Only sign deter you from visiting the best Mexican food location in SF. Go to the bank and withdraw all your money and give it to El Farolito and you can thank me later. I swear everytime I go, regardless of time and day, it's the same awesome line crew working. Their super burrito is so amazing and each bit is extremely flavorful. You don't even need to add salsa it's that much flavor! They have a variety of meats to choose from including Lengua (tongue), Cabeza (cheek), and even Sesos (brain). We went with Al pastor for the burrito which I think is the best combination since the pork has more of a bite which lends itself better in a burrito since their are a lot of soft elements surrounding it. The Lengua and carne asada tacos were great too and a big shoutout to the carne asada as it had a great grilled flavor that you could taste immediately. The burrito only costs $8-9 too! How is this possible when other joints charge way more at the minimum and don't taste nearly as good. Go to the mission area in SF now and eat at this Mexican gem please."
312,Mexican,San Francisco,"Be sure to come to El Farolito with a big appetite! I purposely planned my day to be in the Mission around dinner time so I could get burritos at El Farolito and take it to Dolores Park.  In high school I'd come here often with friends for their Super Burritos. Now that I've moved, I crave these burritos and have been waiting years for this day to happen. Last night, I ordered the Carnitas Super Burrito with no cheese and light sour cream. Every bite was an explosion of pure bliss in my mouth. My burrito was massive and stuffed to the brim with various fillings. The carnitas came in big shredded chunks. The avocado was sliced, fresh, and creamy--not guacamole. The salsas they provided weren't spicy and added extra flavor. I highly recommend adding them on top of your burrito.  El Farolito's cash only. Two burritos and one Jarritos came out to a little over $20. They're open for indoor and outdoor dining too! Even though the line went out the door, the line and our food came out relatively fast."
